path,filename,extension,size_bytes,size_mb,modified_utc,sha256,status,source_scope
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/ctr/240131_EPSG25832_preview.jpg,240131_EPSG25832_preview.jpg,.jpg,1151232,1.098,2026-07-03T22:05:06.662218Z,b5f6e1e1c18b11223d971fa79eeb03f9571b3bc6d60c50035300bafa906d8d8f,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/ctr/240132_EPSG25832_preview.jpg,240132_EPSG25832_preview.jpg,.jpg,1419500,1.354,2026-07-03T22:05:06.982882Z,b1affb229b81c29421cca992aa9781ca4af7c5459c5b2bdd782a367cc6b3af87,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/ctr/240133_EPSG25832_preview.jpg,240133_EPSG25832_preview.jpg,.jpg,1149836,1.097,2026-07-03T22:05:07.302167Z,6ca9473ade83fe5b0b30ebbe6b15dfabcb3a01d9da29778621c1c731a7b66f67,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/ctr/240134_EPSG25832_preview.jpg,240134_EPSG25832_preview.jpg,.jpg,892283,0.851,2026-07-03T22:05:07.600618Z,81fce66e981ca3d7c5d7c4d58aed05ea6f7a86ba6f25e79f31b691a743c0c0d2,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/ctr/240143_EPSG25832_preview.jpg,240143_EPSG25832_preview.jpg,.jpg,873742,0.833,2026-07-03T22:05:07.893944Z,b5a7b8abf2e2aa411cd78d76016f5be4a8f0defdfb4d7fead19f0d88953e5699,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/ctr/240144_EPSG25832_preview.jpg,240144_EPSG25832_preview.jpg,.jpg,830161,0.792,2026-07-03T22:05:08.196192Z,37810313373bc836eca1d74587d8ffae0d07797cdf37aa723abf73f77638ffba,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/historical/01CT_FO004_043_enhanced.jpg,01CT_FO004_043_enhanced.jpg,.jpg,958415,0.914,2026-07-03T22:05:08.319060Z,cf1eac4ca2f5c7d3e4dd6da014e1efe9bb2e689f3af83c360c0cd0a3440bfae7,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/historical/CT_FO004_042_enhanced.jpg,CT_FO004_042_enhanced.jpg,.jpg,1005508,0.959,2026-07-03T22:05:08.448836Z,b37113db5ff6acb73bda2c258b22406e9850ed1bc5b8ae6f0f6653189094407a,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/historical/CT_FO004_044_enhanced.jpg,CT_FO004_044_enhanced.jpg,.jpg,945558,0.902,2026-07-03T22:05:08.554255Z,a4ed04bc9d4e75c2d729934b0457b9244f11f5c28b664e3daa1c2034393eab96,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_7_PointMatching_Workbench/00_WEB/img/historical/CT_FO004_045_enhanced.jpg,CT_FO004_045_enhanced.jpg,.jpg,1073517,1.024,2026-07-03T22:05:08.661372Z,716a869bd5cd9d5d338f5bd7d3cc0f560cad8a7168bd0c4e5b1cc097324f3491,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/00_CTR_PREVIEW/240093_EPSG25832_preview.jpg,240093_EPSG25832_preview.jpg,.jpg,1174862,1.12,2026-07-03T22:05:06.363089Z,0dd0365eec01451a5af5848119c6a690187723f06b4ab648335409a954922c00,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/00_CTR_PREVIEW/240131_EPSG25832_preview.jpg,240131_EPSG25832_preview.jpg,.jpg,1151232,1.098,2026-07-03T22:05:06.662218Z,b5f6e1e1c18b11223d971fa79eeb03f9571b3bc6d60c50035300bafa906d8d8f,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/00_CTR_PREVIEW/240132_EPSG25832_preview.jpg,240132_EPSG25832_preview.jpg,.jpg,1419500,1.354,2026-07-03T22:05:06.982882Z,b1affb229b81c29421cca992aa9781ca4af7c5459c5b2bdd782a367cc6b3af87,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/00_CTR_PREVIEW/240133_EPSG25832_preview.jpg,240133_EPSG25832_preview.jpg,.jpg,1149836,1.097,2026-07-03T22:05:07.302167Z,6ca9473ade83fe5b0b30ebbe6b15dfabcb3a01d9da29778621c1c731a7b66f67,GENERATED,CURRENT_RUNTIME
